7zip	23.01+dfsg-11
libdbusmenu-gtk3-4:amd64	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdbusmenu-qt5-2:amd64	0.9.3+16.04.20160218-2build3
libdc1394-25:amd64	2.2.6-4build1
libdca0:amd64	0.0.7-2build1
libdconf1:amd64	0.40.0-4ubuntu0.1
libde265-0:amd64	1.0.15-1build3
libdebconfclient0:amd64	0.271ubuntu3
libdebian-installer4:amd64	0.124ubuntu2
libdebuginfod-common	0.190-1.1ubuntu0.1
libdebuginfod1t64:amd64	0.190-1.1ubuntu0.1
libdecor-0-0:amd64	0.2.2-1build2
libdecoration0t64:amd64	1:0.9.14.2+22.10.20220822-0ubuntu12
libdee-1.0-4:amd64	1.2.7+17.10.20170616-7build5
libdeflate-dev:amd64	1.19-1build1.1
libdeflate0:amd64	1.19-1build1.1
libdevmapper-event1.02.1:amd64	2:1.02.185-3ubuntu3.2
libdevmapper1.02.1:amd64	2:1.02.185-3ubuntu3.2
libdirectfb-1.7-7t64:amd64	1.7.7-11.1ubuntu2
libdjvulibre-text	3.5.28-2ubuntu0.24.04.2
libdjvulibre21:amd64	3.5.28-2ubuntu0.24.04.2
libdmapsharing-4.0-3t64:amd64	3.9.13-2build1
libdmraid1.0.0.rc16:amd64	1.0.0.rc16-12ubuntu2
libdotconf0:amd64	1.3-0.3fakesync1build3
libdouble-conversion3:amd64	3.3.0-1build1
libdpkg-perl	1.22.6ubuntu6.5
libdrm-amdgpu1:amd64	2.4.125-1ubuntu0.1~24.04.1
libdrm-common	2.4.125-1ubuntu0.1~24.04.1
libdrm-intel1:amd64	2.4.125-1ubuntu0.1~24.04.1
libdrm-nouveau2:amd64	2.4.125-1ubuntu0.1~24.04.1
libdrm-radeon1:amd64	2.4.125-1ubuntu0.1~24.04.1
libdrm2:amd64	2.4.125-1ubuntu0.1~24.04.1
libduktape207:amd64	2.7.0+tests-0ubuntu3
libdv4t64:amd64	1.0.0-17.1build1
libdvdcss2:amd64	1.4.2-dmo1
libdvdnav4:amd64	6.1.1-3build1
libdvdread8t64:amd64	6.1.3-1.1build1
libdw1t64:amd64	0.190-1.1ubuntu0.1
libe-book-0.1-1:amd64	0.1.3-2build6
libebackend-1.2-11t64:amd64	3.52.3-0ubuntu1.2
libebook-1.2-21t64:amd64	3.52.3-0ubuntu1.2
libebook-contacts-1.2-4t64:amd64	3.52.3-0ubuntu1.2
libecal-2.0-3:amd64	3.52.3-0ubuntu1.2
libecryptfs1:amd64	111-6ubuntu3
libedata-book-1.2-27t64:amd64	3.52.3-0ubuntu1.2
libedata-cal-2.0-2t64:amd64	3.52.3-0ubuntu1.2
libedataserver-1.2-27t64:amd64	3.52.3-0ubuntu1.2
libedataserverui-1.2-4t64:amd64	3.52.3-0ubuntu1.2
libedit2:amd64	3.1-20230828-1build1
libefiboot1t64:amd64	38-3.1build1
libefivar1t64:amd64	38-3.1build1
libegl-mesa0:amd64	25.2.8-0ubuntu0.24.04.1
libegl1:amd64	1.7.0-1build1
libelf1t64:amd64	0.190-1.1ubuntu0.1
libenchant-2-2:amd64	2.3.3-2build2
libencode-locale-perl	1.05-3
libencode-perl:amd64	3.21-1build2
libeot0:amd64	0.01-5build3
libepoxy0:amd64	1.5.10-1build1
libepubgen-0.1-1:amd64	0.1.1-1ubuntu6
liberror-perl	0.17029-2
libespeak-ng1:amd64	1.51+dfsg-12build1
libestr0:amd64	0.1.11-1build1
libetonyek-0.1-1:amd64	0.1.10-5build1
libevdev2:amd64	1.13.1+dfsg-1build1
libevent-2.1-7t64:amd64	2.1.12-stable-9ubuntu2
libexempi8:amd64	2.6.5-1build1
libexif12:amd64	0.6.24-1build2
libexiv2-27:amd64	0.27.6-1ubuntu0.3
libexo-2-0:amd64	4.18.0-1build4
libexo-common	4.18.0-1build4
libexpat1-dev:amd64	2.6.1-2ubuntu0.4
libexpat1:amd64	2.6.1-2ubuntu0.4
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libexttextcat-2.0-0:amd64	3.4.7-1build1
libexttextcat-data	3.4.7-1build1
libextutils-depends-perl	0.8001-2
libfaad2:amd64	2.11.1-1build1
libfakeroot:amd64	1.33-1
libfastjson4:amd64	1.2304.0-1build1
libfcgi-perl	0.82+ds-3build2
libfcgi0t64:amd64	2.4.2-2.1ubuntu0.24.04.1
libfdisk1:amd64	2.39.3-9ubuntu6.5
libffi8:amd64	3.4.6-1build1
libffmpegthumbnailer4v5:amd64	2.2.2+git20240104+dfsg-1build1
libfftw3-double3:amd64	3.3.10-1ubuntu3
libfftw3-single3:amd64	3.3.10-1ubuntu3
libfido2-1:amd64	1.14.0-1build3
libfile-basedir-perl	0.09-2
libfile-desktopentry-perl	0.22-3
libfile-fcntllock-perl	0.22-4ubuntu5
libfile-listing-perl	6.16-1
libfile-mimeinfo-perl	0.34-1
libflac12t64:amd64	1.4.3+ds-2.1ubuntu2
libflashrom1:amd64	1.3.0-2.1ubuntu2
libflatpak0:amd64	1.14.6-1ubuntu0.1
libflite1:amd64	2.2-6build3
libfluidsynth3:amd64	2.3.4-1build3
libfont-afm-perl	1.20-4
libfontconfig1:amd64	2.15.0-1.1ubuntu2
libfontenc1:amd64	1:1.1.8-1build1
libfprint-2-2	1:1.94.7+tod1-0ubuntu5~24.04.6
libfprint-2-tod1:amd64	1:1.94.7+tod1-0ubuntu5~24.04.6
libfreeaptx0:amd64	0.1.1-2build1
libfreehand-0.1-1	0.1.2-3build3
libfreetype6:amd64	2.13.2+dfsg-1ubuntu0.1
libfribidi0:amd64	1.0.13-3build1
libftdi1-2:amd64	1.5-6build5
libfuse2t64:amd64	2.9.9-8.1build1
libfuse3-3:amd64	3.14.0-5build1
libfwupd2:amd64	1.9.33-0ubuntu1~24.04.1ubuntu1
libgail-3-0t64:amd64	3.24.41-4ubuntu1.3
libgail-common:amd64	2.24.33-4ubuntu1.1
libgail18t64:amd64	2.24.33-4ubuntu1.1
libgamemode0:amd64	1.8.1-2build1
libgamemodeauto0:amd64	1.8.1-2build1
libgarcon-1-0:amd64	4.18.1-1build3
libgarcon-common	4.18.1-1build3
libgarcon-gtk3-1-0:amd64	4.18.1-1build3
libgbm1:amd64	25.2.8-0ubuntu0.24.04.1
libgcc-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04.1
libgck-1-0:amd64	3.41.2-1build3
libgck-2-2:amd64	4.2.0-5
libgcr-4-4:amd64	4.2.0-5
libgcr-base-3-1:amd64	3.41.2-1build3
libgcr-ui-3-1:amd64	3.41.2-1build3
libgcrypt20:amd64	1.10.3-2build1
libgd3:amd64	2.3.3-9ubuntu5
libgdata-common	0.18.1-6build2
libgdata22:amd64	0.18.1-6build2
libgdbm-compat4t64:amd64	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1
libgdk-pixbuf-2.0-0:amd64	2.42.10+dfsg-3ubuntu3.2
libgdk-pixbuf2.0-bin	2.42.10+dfsg-3ubuntu3.2
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.2
libgee-0.8-2:amd64	0.20.6-1build2
libgeocode-glib-2-0:amd64	3.26.3-6build3
libgexiv2-2:amd64	0.14.2-2build3
libgfortran5:amd64	14.2.0-4ubuntu2~24.04.1
libgif7:amd64	5.2.2-1ubuntu1
libgirepository-1.0-1:amd64	1.80.1-1
libgl-dev:amd64	1.7.0-1build1
libgl1-mesa-dri:amd64	25.2.8-0ubuntu0.24.04.1
libgl1:amd64	1.7.0-1build1
libglapi-mesa:amd64	24.2.8-1ubuntu1~24.04.1
libgles2:amd64	1.7.0-1build1
libglib-object-introspection-perl	0.051-1build3
libglib-perl:amd64	3:1.329.3-3build3
libglib2.0-0t64:amd64	2.80.0-6ubuntu3.8
libglib2.0-bin	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8
libglibmm-2.4-1t64:amd64	2.66.7-1build1
libglu1-mesa:amd64	9.0.2-1.1build1
libglvnd0:amd64	1.7.0-1build1
libglx-dev:amd64	1.7.0-1build1
libglx-mesa0:amd64	25.2.8-0ubuntu0.24.04.1
libglx0:amd64	1.7.0-1build1
libgme0:amd64	0.6.3-7build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6.1
libgnome-desktop-3-20t64:amd64	44.0-5build2
libgnome-menu-3-0:amd64	3.36.0-1.1ubuntu3
libgnomekbd-common	3.28.1-1build3
libgnomekbd8:amd64	3.28.1-1build3
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.5
libgoa-1.0-0b:amd64	3.50.4-0ubuntu2
libgoa-1.0-common	3.50.4-0ubuntu2
libgoa-backend-1.0-2:amd64	3.50.4-0ubuntu2
libgomp1:amd64	14.2.0-4ubuntu2~24.04.1
libgpg-error0:amd64	1.47-3build2.1
libgpgme11t64:amd64	1.18.0-4.1ubuntu4
libgpgmepp6t64:amd64	1.18.0-4.1ubuntu4
libgphoto2-6t64:amd64	2.5.31-2.1ubuntu1
libgphoto2-l10n	2.5.31-2.1ubuntu1
libgphoto2-port12t64:amd64	2.5.31-2.1ubuntu1
libgpm2:amd64	1.20.7-11
libgpod-common	0.8.3-19.1ubuntu4
libgpod4t64:amd64	0.8.3-19.1ubuntu4
libgprofng0:amd64	2.42-4ubuntu2.10
libgraphene-1.0-0:amd64	1.10.8-3build2
libgraphite2-3:amd64	1.3.14-2build1
libgrilo-0.3-0:amd64	0.3.16-1build3
libgs-common	10.02.1~dfsg1-0ubuntu7.8
libgs10-common	10.02.1~dfsg1-0ubuntu7.8
libgs10:amd64	10.02.1~dfsg1-0ubuntu7.8
libgsf-1-114:amd64	1.14.51-2ubuntu0.1
libgsf-1-common	1.14.51-2ubuntu0.1
libgsf-bin	1.14.51-2ubuntu0.1
libgsl27:amd64	2.7.1+dfsg-6ubuntu2
libgslcblas0:amd64	2.7.1+dfsg-6ubuntu2
libgsm1:amd64	1.0.22-1build1
libgspell-1-2:amd64	1.12.2-1build4
libgspell-1-common	1.12.2-1build4
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.6
libgssdp-1.6-0:amd64	1.6.3-1build3
libgstreamer-gl1.0-0:amd64	1.24.2-1ubuntu0.4
libgstreamer-plugins-bad1.0-0:amd64	1.24.2-1ubuntu4
libgstreamer-plugins-base1.0-0:amd64	1.24.2-1ubuntu0.4
libgstreamer-plugins-good1.0-0:amd64	1.24.2-1ubuntu1.3
libgstreamer1.0-0:amd64	1.24.2-1ubuntu0.1
libgstrtspserver-1.0-0	1.24.2-1
libgtk-3-0t64:amd64	3.24.41-4ubuntu1.3
libgtk-3-bin	3.24.41-4ubuntu1.3
libgtk-3-common	3.24.41-4ubuntu1.3
libgtk-4-1:amd64	4.14.5+ds-0ubuntu0.9
libgtk-4-common	4.14.5+ds-0ubuntu0.9
libgtk-layer-shell0	0.8.2-1build2
libgtk2.0-0t64:amd64	2.24.33-4ubuntu1.1
libgtk2.0-bin	2.24.33-4ubuntu1.1
libgtk2.0-common	2.24.33-4ubuntu1.1
libgtk3-perl	0.038-3
libgtkmm-3.0-1t64:amd64	3.24.9-1
libgtksourceview-3.0-1:amd64	3.24.11-2build4
libgtksourceview-3.0-common	3.24.11-2build4
libgtksourceview-4-0:amd64	4.8.4-5build4
libgtksourceview-4-common	4.8.4-5build4
libgtop-2.0-11:amd64	2.41.3-1ubuntu0.24.04.1
libgtop2-common	2.41.3-1ubuntu0.24.04.1
libgucharmap-2-90-7:amd64	1:15.1.3-1build1
libgudev-1.0-0:amd64	1:238-5ubuntu1
libgupnp-1.6-0:amd64	1.6.6-1build3
libgupnp-igd-1.6-0:amd64	1.6.0-3build3
libgusb2:amd64	0.4.8-1build2
libgutenprint-common	5.3.4.20220624T01008808d602-1build4
libgutenprint9	5.3.4.20220624T01008808d602-1build4
libguvcview-2.1-2t64:amd64	2.0.8-2.1build3
libgweather-4-0t64:amd64	4.4.2-1build1
libgweather-4-common	4.4.2-1build1
libgxps2t64:amd64	0.3.2-4build3
libhandy-1-0:amd64	1.8.3-1build2
libharfbuzz-gobject0:amd64	8.3.0-2build2
libharfbuzz-icu0:amd64	8.3.0-2build2
libharfbuzz0b:amd64	8.3.0-2build2
libheif-plugin-aomdec:amd64	1.17.6-1ubuntu4.2
libheif-plugin-libde265:amd64	1.17.6-1ubuntu4.2
libheif1:amd64	1.17.6-1ubuntu4.2
libhfstospell11:amd64	0.5.4-1build3
libhogweed6t64:amd64	3.9.1-2.2build1.1
libhpmud0:amd64	3.23.12+dfsg0-0ubuntu5
libhtml-form-perl	6.11-1
libhtml-format-perl	2.16-2
libhtml-parser-perl:amd64	3.81-1build3
libhtml-tagset-perl	3.20-6
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1
libhttp-date-perl	6.06-1
libhttp-message-perl	6.45-1ubuntu1
libhttp-negotiate-perl	6.01-2
libhunspell-1.7-0:amd64	1.7.2+really1.7.2-10build3
libhwasan0:amd64	14.2.0-4ubuntu2~24.04.1
libhwy1t64:amd64	1.0.7-8.1build1
libhyphen0:amd64	2.8.8-7build3
libibus-1.0-5:amd64	1.5.29-2
libibverbs1:amd64	50.0-2ubuntu0.2
libical3t64:amd64	3.0.17-1.1build3
libice6:amd64	2:1.0.10-1build3
libicu74:amd64	74.2-1ubuntu3.1
libidn12:amd64	1.42-1build1
libidn2-0:amd64	2.3.7-2build1.1
libiec61883-0:amd64	1.2.0-6build1
libieee1284-3t64:amd64	0.2.11-14.1build1
libigdgmm12:amd64	22.3.17+ds1-1ubuntu1
libijs-0.35:amd64	0.35-15.1build1
libimagequant0:amd64	2.18.0-1build1
libimath-3-1-29t64:amd64	3.1.9-3.1ubuntu2
libimobiledevice-utils	1.3.0-8.1build3
libimobiledevice6:amd64	1.3.0-8.1build3
libinih1:amd64	55-1ubuntu2
libinput-bin	1.25.0-1ubuntu3.3
libinput10:amd64	1.25.0-1ubuntu3.3
libinstpatch-1.0-2:amd64	1.1.6-1build2
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.085-1
libip4tc2:amd64	1.8.10-3ubuntu2
libip6tc2:amd64	1.8.10-3ubuntu2
libipc-system-simple-perl	1.30-2
libipt2	2.0.6-1build1
libisl23:amd64	0.26-3build1.1
libisofs6t64:amd64	1.5.6.pl01-1.1ubuntu2
libitm1:amd64	14.2.0-4ubuntu2~24.04.1
libiw30t64:amd64	30~pre9-16.1ubuntu2
libjack-jackd2-0:amd64	1.9.21~dfsg-3ubuntu3
libjansson4:amd64	2.14-2build2
libjavascriptcoregtk-4.1-0:amd64	2.50.4-0ubuntu0.24.04.1
libjbig-dev:amd64	2.1-6.1ubuntu2
libjbig0:amd64	2.1-6.1ubuntu2
libjbig2dec0:amd64	0.20-1build3
libjcat1:amd64	0.2.0-2build3
libjpeg-dev:amd64	8c-2ubuntu11
libjpeg-turbo8-dev:amd64	2.1.5-2ubuntu2
libjpeg-turbo8:amd64	2.1.5-2ubuntu2
libjpeg8-dev:amd64	8c-2ubuntu11
libjpeg8:amd64	8c-2ubuntu11
libjs-async	0.8.0-6
libjs-events	3.3.0+~3.0.0-3
libjs-inherits	2.0.4-6
libjs-is-typedarray	1.0.0-4
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-mathjax	2.7.9+dfsg-1
libjs-prettify	2015.12.04+dfsg-1.1
libjs-regenerate	1.4.2-3
libjs-source-map	0.7.0++dfsg2+really.0.6.1-15
libjs-sphinxdoc	7.2.6-6
libjs-sprintf-js	1.1.2+ds1+~1.1.2-1
libjs-typedarray-to-buffer	4.0.0-2
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjs-util	0.12.5+~1.0.10-1
libjson-c5:amd64	0.17-1build1
libjson-glib-1.0-0:amd64	1.8.0-2build2
libjson-glib-1.0-common	1.8.0-2build2
libjsoncpp25:amd64	1.9.5-6build1
libjxl-tools	0.7.0-10.2ubuntu6.1
libjxl0.7:amd64	0.7.0-10.2ubuntu6.1
libjxr-tools	1.2~git20170615.f752187-5.1ubuntu2
libjxr0t64:amd64	1.2~git20170615.f752187-5.1ubuntu2
libk5crypto3:amd64	1.20.1-6ubuntu2.6
libkeybinder-3.0-0:amd64	0.3.2-1.1build2
libkeyutils1:amd64	1.6.3-3build1
libkf5archive-data	5.115.0-0ubuntu5
libkf5archive5:amd64	5.115.0-0ubuntu5
libkf5auth-data	5.115.0-0ubuntu5
libkf5authcore5:amd64	5.115.0-0ubuntu5
libkf5codecs-data	5.115.0-0ubuntu5
libkf5codecs5:amd64	5.115.0-0ubuntu5
libkf5completion-data	5.115.0-0ubuntu5
libkf5completion5:amd64	5.115.0-0ubuntu5
libkf5config-bin	5.115.0-0ubuntu5
libkf5config-data	5.115.0-0ubuntu5
libkf5configcore5:amd64	5.115.0-0ubuntu5
libkf5configgui5:amd64	5.115.0-0ubuntu5
libkf5configwidgets-data	5.115.0-0ubuntu5
libkf5configwidgets5:amd64	5.115.0-0ubuntu5
libkf5coreaddons-data	5.115.0-0ubuntu5
libkf5coreaddons5:amd64	5.115.0-0ubuntu5
libkf5crash5:amd64	5.115.0-0ubuntu5
libkf5dbusaddons-bin	5.115.0-0ubuntu5
libkf5dbusaddons-data	5.115.0-0ubuntu5
libkf5dbusaddons5:amd64	5.115.0-0ubuntu5
libkf5doctools5:amd64	5.115.0-0ubuntu5
libkf5globalaccel-bin	5.115.0-0ubuntu5
libkf5globalaccel-data	5.115.0-0ubuntu5
libkf5globalaccel5:amd64	5.115.0-0ubuntu5
libkf5globalaccelprivate5:amd64	5.115.0-0ubuntu5
libkf5guiaddons-bin	5.115.0-0ubuntu5
libkf5guiaddons-data	5.115.0-0ubuntu5
libkf5guiaddons5:amd64	5.115.0-0ubuntu5
libkf5i18n-data	5.115.0-0ubuntu6
libkf5i18n5:amd64	5.115.0-0ubuntu6
libkf5iconthemes-bin	5.115.0-0ubuntu6
libkf5iconthemes-data	5.115.0-0ubuntu6
libkf5iconthemes5:amd64	5.115.0-0ubuntu6
libkf5itemviews-data	5.115.0-0ubuntu5
libkf5itemviews5:amd64	5.115.0-0ubuntu5
libkf5jobwidgets-data	5.115.0-0ubuntu5
libkf5jobwidgets5:amd64	5.115.0-0ubuntu5
libkf5kiocore5:amd64	5.115.0-0ubuntu6
libkf5kiogui5:amd64	5.115.0-0ubuntu6
libkf5kiontlm5:amd64	5.115.0-0ubuntu6
libkf5kiowidgets5:amd64	5.115.0-0ubuntu6
libkf5notifications-data	5.115.0-0ubuntu6
libkf5notifications5:amd64	5.115.0-0ubuntu6
libkf5service-bin	5.115.0-0ubuntu4
libkf5service-data	5.115.0-0ubuntu4
libkf5service5:amd64	5.115.0-0ubuntu4
libkf5solid5-data	5.115.0-0ubuntu5
libkf5solid5:amd64	5.115.0-0ubuntu5
libkf5sonnet5-data	5.115.0-0ubuntu5
libkf5sonnetcore5:amd64	5.115.0-0ubuntu5
libkf5sonnetui5:amd64	5.115.0-0ubuntu5
libkf5textwidgets-data	5.115.0-0ubuntu4
libkf5textwidgets5:amd64	5.115.0-0ubuntu4
libkf5wallet-bin	5.115.0-0ubuntu3
libkf5wallet-data	5.115.0-0ubuntu3
libkf5wallet5:amd64	5.115.0-0ubuntu3
libkf5waylandclient5:amd64	4:5.115.0-0ubuntu5
libkf5widgetsaddons-data	5.115.0-0ubuntu4
libkf5widgetsaddons5:amd64	5.115.0-0ubuntu4
libkf5windowsystem-data	5.115.0-0ubuntu4
libkf5windowsystem5:amd64	5.115.0-0ubuntu4
libkf5xmlgui-bin:amd64	5.115.0-0ubuntu5
libkf5xmlgui-data	5.115.0-0ubuntu5
libkf5xmlgui5:amd64	5.115.0-0ubuntu5
libklibc:amd64	2.0.13-4ubuntu0.2
libkmod2:amd64	31+20240202-2ubuntu7.1
libkpathsea6:amd64	2023.20230311.66589-9build3
libkpmcore12	23.08.5-0ubuntu3
libkrb5-3:amd64	1.20.1-6ubuntu2.6
libkrb5support0:amd64	1.20.1-6ubuntu2.6
libksba8:amd64	1.6.6-1build1
libkwalletbackend5-5:amd64	5.115.0-0ubuntu3
liblangtag-common	0.6.7-1build2
liblangtag1:amd64	0.6.7-1build2
liblapack3:amd64	3.12.0-3build1.1
liblc3-1:amd64	1.0.4-3build1
liblcms2-2:amd64	2.14-2build1
liblcms2-utils	2.14-2build1
libldacbt-abr2:amd64	2.0.2.3+git20200429+ed310a0-4ubuntu2
libldacbt-enc2:amd64	2.0.2.3+git20200429+ed310a0-4ubuntu2
libldap2:amd64	2.6.10+dfsg-0ubuntu0.24.04.1
libldb2:amd64	2:2.8.0+samba4.19.5+dfsg-4ubuntu9.4
liblerc-dev:amd64	4.0.0+ds-4ubuntu2
liblerc4:amd64	4.0.0+ds-4ubuntu2
liblightdm-gobject-1-0:amd64	1.30.0-0ubuntu14
liblilv-0-0:amd64	0.24.22-1build1
liblinear4:amd64	2.3.0+dfsg-5build1
liblirc-client0t64:amd64	0.10.2-0.8build1
libllvm17t64:amd64	1:17.0.6-9ubuntu1
libllvm19:amd64	1:19.1.1-1ubuntu1~24.04.2
libllvm20:amd64	1:20.1.2-0ubuntu1~24.04.2
liblmdb0:amd64	0.9.31-1build1
liblocale-gettext-perl	1.07-6ubuntu5
liblouis-data	3.29.0-1build1
liblouis20:amd64	3.29.0-1build1
liblouisutdml-bin	2.12.0-3.1build1
liblouisutdml-data	2.12.0-3.1build1
liblouisutdml9t64:amd64	2.12.0-3.1build1
liblqr-1-0:amd64	0.4.2-2.1build2
liblrdf0:amd64	0.6.1-4build1
liblsan0:amd64	14.2.0-4ubuntu2~24.04.1
libltc11:amd64	1.3.2-1build1
libltdl7:amd64	2.4.7-7build1
liblua5.2-0:amd64	5.2.4-3build2
liblua5.4-0:amd64	5.4.6-3build2
liblvm2cmd2.03:amd64	2.03.16-3ubuntu3.2
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.13-1
liblz4-1:amd64	1.9.4-1build1.1
liblzma-dev:amd64	5.6.1+really5.4.5-1ubuntu0.2
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.2
liblzo2-2:amd64	2.10-2build4
libmagic-mgc	1:5.45-3build1
libmagic1t64:amd64	1:5.45-3build1
libmagickcore-6.q16-7-extra:amd64	8:6.9.12.98+dfsg1-5.2build2
libmagickcore-6.q16-7t64:amd64	8:6.9.12.98+dfsg1-5.2build2
libmagickwand-6.q16-7t64:amd64	8:6.9.12.98+dfsg1-5.2build2
libmalcontent-0-0:amd64	0.11.1-1ubuntu1.3
libmanette-0.2-0:amd64	0.2.7-1build2
libmaxminddb0:amd64	1.9.1-1build1
libmbedcrypto7t64:amd64	2.28.8-1
libmbim-glib4:amd64	1.31.2-0ubuntu3.1
libmbim-proxy	1.31.2-0ubuntu3.1
libmd0:amd64	1.1.0-2build1.1
libmd4c0:amd64	0.4.8-1build1
libmetacity3:amd64	1:3.52.0-1build1
libmfx1:amd64	22.5.4-1
libmhash2:amd64	0.9.9.9-9build3
libminiupnpc17:amd64	2.2.6-1build2
libmjpegutils-2.1-0t64:amd64	1:2.1.0+debian-8.1build1
libmm-glib0:amd64	1.23.4-0ubuntu2
libmnl0:amd64	1.0.5-2build1
libmodplug1:amd64	1:0.8.9.0-3build1
libmount1:amd64	2.39.3-9ubuntu6.5
libmp3lame0:amd64	3.100-6build1
libmpc3:amd64	1.3.1-1build1.1
libmpcdec6:amd64	2:0.1~r495-2build1
libmpeg2-4:amd64	0.5.1-9build1
libmpeg2encpp-2.1-0t64:amd64	1:2.1.0+debian-8.1build1
libmpfr6:amd64	4.2.1-1build1.1
libmpg123-0t64:amd64	1.32.5-1ubuntu1.1
libmplex2-2.1-0t64:amd64	1:2.1.0+debian-8.1build1
libmpv2:amd64	0.37.0-1ubuntu4
libmsgraph-0-1:amd64	0.2.1-0ubuntu3
libmspack0t64:amd64	0.11-1.1build1
libmspub-0.1-1:amd64	0.1.4-3build7
libmtdev1t64:amd64	1.1.6-1.1build1
libmtp-common	1.1.21-3.1ubuntu1
libmtp-runtime	1.1.21-3.1ubuntu1
libmtp9t64:amd64	1.1.21-3.1ubuntu1
libmujs3:amd64	1.3.3-3build2
libmwaw-0.3-3:amd64	0.3.22-1build1
libmysofa1:amd64	1.3.2+dfsg-2ubuntu2
libmythes-1.2-0:amd64	2:1.2.5-1build1
libnatpmp1t64:amd64	20230423-1.2build1
libnautilus-extension4:amd64	1:46.4-0ubuntu0.2
libncurses6:amd64	6.4+20240113-1ubuntu2
libncursesw6:amd64	6.4+20240113-1ubuntu2
libndp0:amd64	1.8-1fakesync1ubuntu0.24.04.1
libneon27t64:amd64	0.33.0-1.1build3
libnet-dbus-perl	1.2.0-2build3
libnet-http-perl	6.23-1
libnet-libidn-perl	0.12.ds-4build4
libnet-ssleay-perl:amd64	1.94-1build4
libnetfilter-conntrack3:amd64	1.0.9-6build1
libnetplan1:amd64	1.1.2-8ubuntu1~24.04.1
libnettle8t64:amd64	3.9.1-2.2build1.1
libnewt0.52:amd64	0.52.24-2ubuntu2
libnfnetlink0:amd64	1.0.2-2build1
libnfs14:amd64	5.0.2-1build1
libnftables1:amd64	1.0.9-1ubuntu0.1
libnftnl11:amd64	1.2.6-2build1
libnghttp2-14:amd64	1.59.0-1ubuntu0.2
libnice10:amd64	0.1.21-2build3
libnl-3-200:amd64	3.7.0-0.3build1.1
libnl-genl-3-200:amd64	3.7.0-0.3build1.1
libnl-route-3-200:amd64	3.7.0-0.3build1.1
libnm0:amd64	1.46.0-1ubuntu2.6
libnma-common	1.10.6+mint1+wilma
libnma-gtk4-0:amd64	1.10.6+mint1+wilma
libnma0:amd64	1.10.6+mint1+wilma
libnode-dev	18.19.1+dfsg-6ubuntu5
libnode109:amd64	18.19.1+dfsg-6ubuntu5
libnorm1t64:amd64	1.5.9+dfsg-3.1build1
libnotify-bin	0.8.3-1build2
libnotify4:amd64	0.8.3-1build2
libnpth0t64:amd64	1.6-3.1build1
libnspr4:amd64	2:4.35-1.1build1
libnss-mdns:amd64	0.15.1-4build1
libnss-myhostname:amd64	255.4-1ubuntu8.14
libnss-systemd:amd64	255.4-1ubuntu8.14
libnss3:amd64	2:3.98-1ubuntu0.1
libntfs-3g89t64:amd64	1:2022.10.3-1.2ubuntu3
libnuma1:amd64	2.0.18-1ubuntu0.24.04.1
libnvme1t64	1.8-3ubuntu1
libodfgen-0.1-1:amd64	0.1.8-2build3
libogg0:amd64	1.3.5-3build1
liboobs-1-5:amd64	3.0.0-4build2
libopenal-data	1:1.23.1-4build1
libopenal1:amd64	1:1.23.1-4build1
libopencore-amrnb0:amd64	0.1.6-1build1
libopencore-amrwb0:amd64	0.1.6-1build1
libopenexr-3-1-30:amd64	3.1.5-5.1build3
libopengl-dev:amd64	1.7.0-1build1
libopengl0:amd64	1.7.0-1build1
libopenh264-7:amd64	2.4.1+dfsg-1
libopenjp2-7:amd64	2.5.0-2ubuntu0.4
libopenmpt0t64:amd64	0.7.3-1.1build3
libopenni2-0:amd64	2.2.0.33+dfsg-18
libopus0:amd64	1.4-1build1
liborc-0.4-0t64:amd64	1:0.4.38-1ubuntu0.1
liborcus-0.18-0:amd64	0.19.2-3build3
liborcus-parser-0.18-0:amd64	0.19.2-3build3
libostree-1-1:amd64	2024.5-1build2
libp11-kit0:amd64	0.25.3-4ubuntu2.1
libpackagekit-glib2-18:amd64	1.2.8+mint2+xia
libpagemaker-0.0-0:amd64	0.0.4-1build4
libpam-cap:amd64	1:2.66-5ubuntu2.2
libpam-fingwit	1.0.8+zena
libpam-fprintd:amd64	1.94.3-1
libpam-gnome-keyring:amd64	46.1-2ubuntu0.2
libpam-modules-bin	1.5.3-5ubuntu5.5
libpam-modules:amd64	1.5.3-5ubuntu5.5
